time,id,selection,a,b,c_in,m,f,p,g,c4,ab
4276,0002,0001,1000,1011,0,1,0100,1,1,1,1
4286,0002,0001,1000,1100,0,1,0011,1,1,1,1
4296,0002,0001,1000,1101,0,1,0010,1,1,1,1
4306,0002,0001,1000,1110,0,1,0001,1,1,1,1
4316,0002,0001,1000,1111,0,1,0000,1,1,1,1
4326,0002,0001,1001,0000,0,1,0110,1,1,1,1
4336,0002,0001,1001,0001,0,1,0110,1,1,1,1
4346,0002,0001,1001,0010,0,1,0100,1,1,1,1
4356,0002,0001,1001,0011,0,1,0100,1,1,1,1
4366,0002,0001,1001,0100,0,1,0010,1,1,1,1
4376,0002,0001,1001,0101,0,1,0010,1,1,1,1
4386,0002,0001,1001,0110,0,1,0000,1,1,1,1
4396,0002,0001,1001,0111,0,1,0000,1,1,1,1
4406,0002,0001,1001,1000,0,1,0110,1,1,1,1
4416,0002,0001,1001,1001,0,1,0110,1,1,1,1
4426,0002,0001,1001,1010,0,1,0100,1,1,1,1
4436,0002,0001,1001,1011,0,1,0100,1,1,1,1
4446,0002,0001,1001,1100,0,1,0010,1,1,1,1
4456,0002,0001,1001,1101,0,1,0010,1,1,1,1
4466,0002,0001,1001,1110,0,1,0000,1,1,1,1
4476,0002,0001,1001,1111,0,1,0000,1,1,1,1
4486,0002,0001,1010,0000,0,1,0101,1,1,1,1
4496,0002,0001,1010,0001,0,1,0100,1,1,1,1
4506,0002,0001,1010,0010,0,1,0101,1,1,1,1
4516,0002,0001,1010,0011,0,1,0100,1,1,1,1
4526,0002,0001,1010,0100,0,1,0001,1,1,1,1
4536,0002,0001,1010,0101,0,1,0000,1,1,1,1
4546,0002,0001,1010,0110,0,1,0001,1,1,1,1
4556,0002,0001,1010,0111,0,1,0000,1,1,1,1
4566,0002,0001,1010,1000,0,1,0101,1,1,1,1
4576,0002,0001,1010,1001,0,1,0100,1,1,1,1
4586,0002,0001,1010,1010,0,1,0101,1,1,1,1
4596,0002,0001,1010,1011,0,1,0100,1,1,1,1
4606,0002,0001,1010,1100,0,1,0001,1,1,1,1
4616,0002,0001,1010,1101,0,1,0000,1,1,1,1
4626,0002,0001,1010,1110,0,1,0001,1,1,1,1
4636,0002,0001,1010,1111,0,1,0000,1,1,1,1
4646,0002,0001,1011,0000,0,1,0100,1,1,1,1
4656,0002,0001,1011,0001,0,1,0100,1,1,1,1
